gvkey,name,dm3_sh,gptdata_overall
2002,"Popular, Inc.",.0100314797320929,0
2005,Bank Of Hawaii Corp,.0109127659151352,0
2019,Bank Of New York Mellon Corp,.0167218636732835,1
2044,,,
2049,Barnes Group Inc,.0081213866594981,1
2052,Barnwell Industries Inc,,0
2055,Barrick Gold Corp,.0068854278795805,
2061,,,
2080,Bassett Furniture Industries Inc,.0034098347327403,0
2086,Baxter International Inc,.0090992860588202,1
2101,Applied Industrial Technologies Inc,.0048701253994649,0
2111,Becton Dickinson & Co,.0101998970773365,2
2124,Bel Fuse Inc /Nj,.0084316501097536,2
2136,Verizon Communications Inc,.0201516187505513,2
2137,Bce Inc,.0117613118563318,
2138,,,
2154,,.0098643375873222,
2163,,,
2176,,.0070815213477073,
2184,Best Buy Co Inc,.0060218886291507,1
2220,"Bio-Rad Laboratories, Inc.",.0134591727691227,1
2237,,,
2259,Black Hills Corp /Sd/,.0128187242905744,0
2269,H&R Block Inc,,
2270,Valaris Ltd,.0046782798541321,0
2271,,,
2285,Boeing Co,.010048075893034,1
2295,,,
2312,Robert Half Inc.,.0114496392162451,0
2316,,,
2337,,.0079370995942311,
2342,,.0041148551543119,
2352,Brady Corp,.0164031711912817,2
2369,Brookfield Corp /On/,,
2390,Bridgford Foods Corp,.0039419526900346,0
2393,,.0069844089363133,
2403,Bristol Myers Squibb Co,.0120231069672572,0
2406,,,
2408,Telus Corp,.0178632098356448,
2410,Bp Plc,.0087958525866794,
2411,,,
2435,,,
2436,Caleres Inc,.0061902940678697,1
2444,Brunswick Corp,.0096801009472916,2
2448,Materion Corp,.0078243068075991,1
2490,,.0065145841558885,
2497,Mastec Inc,.0060925838518606,0
2504,Unisys Corp,.0261408863118944,1
2519,,,
2526,Cae Inc,,
2536,"Liveramp Holdings, Inc.",,
2538,,,
2547,Cigna Group,.0152591851318322,0
2556,,,
2558,Cna Financial Corp,.0111891958781305,1
2573,Csp Inc /Ma/,.0143643143183054,1
2574,Csx Corp,.0083995527802284,0
2577,Cts Corp,.0294914168161341,2
2578,Telos Corp,,
2581,Cvd Equipment Corp,,
2593,Cabot Corp,.0083460977346868,1
2596,Caci International Inc /De/,.0308544412299488,2
2615,Calamp Corp.,,
2626,,,
2628,California Water Service Group,.0099847230029698,0
2662,,,
2663,Campbell Soup Co,.0066439414711377,0
2675,,.0057331187223585,
2696,Canadian National Railway Co,.0058765594871941,
2697,,,
2698,Canadian Pacific Kansas City Ltd/Cn,.0055826562675915,0
2703,,.0044909339586433,
2710,"Constellation Brands, Inc.",.0109880717826596,1
2721,Canon Inc,,
2751,Cardinal Health Inc,.010293405229191,
2771,Carlisle Companies Inc,.0069887453838403,1
2787,Carpenter Technology Corp,.0075128352474607,1
2802,,,
2803,,,
2807,Caseys General Stores Inc,,
2811,,.006147559254732,
2812,,,
2817,Caterpillar Inc,.0111333959193195,1
2818,Cato Corp,,
2820,Cavco Industries Inc.,,
2829,R F Industries Ltd,.0073838865602283,0
2849,,.0057534633819729,
2859,,,
2865,,,
2884,"Lumen Technologies, Inc.",.0184113923044911,2
2911,,,
2916,,,
2940,,.0114398980778437,
2942,,.0070972017731381,
2950,,,
2953,,,
2960,Chemed Corp,.0050281897033345,0
2968,Jpmorgan Chase & Co,.0148627068523512,2
2986,Chesapeake Utilities Corp,.0123692187643538,0
2990,"Imunon, Inc.",,
2991,Chevron Corp,.0102124112241657,2
2999,Chicago Rivet & Machine Co,,
3007,"Brinker International, Inc",.001976914631524,1
3026,Church & Dwight Co Inc /De/,.0070369589982355,1
3028,Churchill Downs Inc,.0165977950218529,1
3031,,,
3036,,.0141870553720173,
3039,,.0108569639083406,
3062,Cintas Corp,,
3082,,,
3087,,,
3093,,,
3105,"Iheartmedia, Inc.",,
3107,Cleveland-Cliffs Inc.,.0066645642075642,0
3121,Clorox Co /De/,.008325122929667,1
3134,,,
3138,"Coca-Cola Consolidated, Inc.",.004987350597688,0
3144,Coca Cola Co,.0056601397540635,1
3153,"Coeur Mining, Inc.",.0062385093812144,0
3157,Coherent Corp.,.0109225264242228,0
3158,Cohu Inc,.0159740013706805,1
3169,,,
3170,Colgate Palmolive Co,.0086795061769194,0
3184,,,
3203,Chase Corp,.0097968412908706,0
3218,,,
3221,Aon Plc,.0122569439888795,0
3226,Comcast Corp,.0125952707476212,1
3230,,,
3231,Comerica Inc /New/,.0104506027805476,0
3238,Commerce Bancshares Inc /Mo/,.0112557501206507,0
3240,,,
3243,Citigroup Inc,.0140232049183168,
3246,Commercial Metals Co,.0057983832668339,0
3275,,,
3278,"Avis Budget Group, Inc.",.0056557952103106,1
3288,,,
3297,,,
3310,,,
3336,Dxc Technology Co,,
3342,Computer Task Group Inc,,
3358,Comtech Telecommunications Corp /De/,.0275563459466243,2
3362,Conagra Brands Inc.,,
3369,"Rave Restaurant Group, Inc.",.0022331441226464,0
3382,"Shutterstock, Inc.",.0154947379823295,2
3389,,,
3394,,.0106450886545281,
3407,,,
3410,Transcontinental Realty Investors Inc,,
3413,Consolidated Edison Inc,.0111341297802853,0
3424,Biglari Holdings Inc.,.0016833042557859,0
3429,"Cto Realty Growth, Inc.",.003114791375931,0
3439,Cms Energy Corp,.011179460757573,0
3465,,,
3469,,.0099270811410168,
3502,,.0084034552784229,
3504,"Cooper Companies, Inc.",.0093855714174671,2
3505,Molson Coors Beverage Co,.0075234289707539,0
3516,,.016542200754568,
3532,Corning Inc /Ny,.0112302670165007,1
3538,,,
3552,,,
3562,Cousins Properties Inc,.0049552817025707,0
3570,"Cracker Barrel Old Country Store, Inc",.0014566703357635,0
3580,Crane Co,.0111139785649844,
3581,,.0096377628261482,
3591,,.0105007087080202,
3592,"Onemain Holdings, Inc.",.0105007087080202,1
3607,,,
3619,Crown Holdings Inc,.0095616232721812,1
3622,Crown Crafts Inc,,
3639,,.025372525535163,
3643,"Cullen/Frost Bankers, Inc.",.0099856922366781,1
3647,Culp Inc,,
3650,Cummins Inc,.0105743293388794,2
3662,Curtiss Wright Corp,.0117173271870266,1
3691,"Gt Biopharma, Inc.",,
3708,Wendy'S Co,.0015592478535193,0
3734,Dana Inc,.0071662273150438,2
3735,Danaher Corp /De/,.0120793091298728,0
3761,Data I/O Corp,,
3785,,,
3786,,,
3801,,,
3806,Dawson Geophysical Co,.0079770214108593,0
3807,Daxor Corp,,
3813,Target Corp,.0046498124534129,0
3814,,.0058267953256414,
3835,Deere & Co,.014575480494739,1
3842,,,
3851,"Delta Air Lines, Inc.",.005747200312671,0
3855,,,
3863,Deluxe Corp,.0139955872444566,0
3897,Dte Energy Co,.0101339183870143,1
3905,Adtalem Global Education Inc.,.0085223844636754,1
3908,,,
3916,,,
3918,,,
3937,,,
3946,"Diebold Nixdorf, Inc",.0180094892201247,2
3962,Nortech Systems Inc,,
3964,"Dillard'S, Inc.",.0032544788174807,0
3969,Diodes Inc /Del/,.0096408897248851,
3980,Walt Disney Co,.0092887804353815,1
4001,Dixie Group Inc,,
4016,Dollar General Corp,.001549522266502,0
4019,,.0044760807797407,
4029,"Dominion Energy, Inc",.0117242943879566,1
4036,Donaldson Co Inc,.0083101815622527,1
4040,,.0090061450250478,
4045,"Dorchester Minerals, L.P.",,
4049,,,
4058,Dover Corp,.0092594780891246,1
4060,"Dupont De Nemours, Inc.",.0085552532551514,0
4065,,,
4066,Omnicom Group Inc.,.0093232272250754,1
4072,,.0034905483963116,
4087,,,
4091,Ducommun Inc /De/,.0070726688787558,1
4093,Duke Energy Corp,.0108569639083406,1
4094,"Dun & Bradstreet Holdings, Inc.",,
4108,Flowserve Corp,.0104900177813883,2
4115,Dycom Industries Inc,.0099484527662198,1
4124,Dynatronics Corp,.005588536324599,
4128,,,
4130,,.0116924495534999,
4140,,,
4145,,.0150240159266958,
4186,Eastern Co,.0103213015671884,0
4193,Eastgroup Properties Inc,.007061335576447,0
4194,Eastman Kodak Co,,
4199,,.0095591067064483,
4201,,.0124501757909814,
4213,Ecolab Inc.,.0074896605426403,0
4225,Educational Development Corp,,
4241,,.0087824641451059,
4242,,,
4273,,,
4274,,,
4275,Electro Sensors Inc,,
4321,Emerson Electric Co,.0114214304879882,2
4322,Emerson Radio Corp,,
4331,,,
4367,Weatherford International Plc,.0083772015315148,0
4383,Atmos Energy Corp,.009299439682314,1
4384,"Marathon Digital Holdings, Inc.",,
4390,"Ennis, Inc.",,
4409,"Enzon Pharmaceuticals, Inc.",,
4415,,,
4418,Enzo Biochem Inc,.0107799608086865,1
4423,Equifax Inc,.0284345197057712,3
4430,Eqt Corp,.0099973735977676,0
4439,Ericsson Lm Telephone Co,.027178397876977,
4448,Escalade Inc,.0046705240107947,0
4450,Espey Mfg & Electronics Corp,.0095886681277393,0
4460,,.0083223708233676,
4462,Newmarket Corp,.0097316569888975,1
4467,,,
4476,,,
4485,"Kingstone Companies, Inc.",,0
4494,Expeditors International Of Washington Inc,.0133625251286062,1
4497,Dmc Global Inc.,.0145995248899836,1
4498,Insteel Industries Inc,.008961955403701,0
4503,Exxon Mobil Corp,.0136923258449456,0
4510,Fmc Corp,.0079756611468858,2
4515,,,
4517,Nextera Energy Inc,.0113061020581589,2
4523,,,
4579,Farmer Brothers Co,.0049208804379736,0
4598,Fedex Corp,,
4599,,.0039808046115266,
4600,,,
4601,,.0329525100628644,
4605,Federal Realty Investment Trust,.0071270088034082,0
4607,,.006483939673594,
4608,Federal Signal Corp /De/,.0076174740171984,1
4611,"Macy'S, Inc.",.004947732209617,1
4622,,.0065187690802873,
4632,"Lisata Therapeutics, Inc.",,
4640,Fifth Third Bancorp,.0092789727997529,1
4645,,,
4669,,.0097574580267694,
4674,Regions Financial Corp,.0066195162390125,0
4685,Trustmark Corp,.0099252513088458,0
4690,First Citizens Bancshares Inc /De/,.0114807986628274,0
4695,,,
4699,M&T Bank Corp,.0106918027925419,0
4707,,,
4723,Us Bancorp De,.0127541204287508,0
4737,First Horizon Corp,.0094257738637957,0
4759,Flanigans Enterprises Inc,.0016978787870463,0
4763,,,
4768,,,
4771,Flexsteel Industries Inc,.0066789096527046,0
4790,,,
4798,,.0112954987302848,
4807,,,
4809,Flowers Foods Inc,.0049484256308921,0
4818,Fluor Corp,.0065040394069622,1
4826,Fonar Corp,.0097751280623722,1
4828,,,
4839,Ford Motor Co,.010881389350346,1
4840,,.0114647401319593,
4844,,,
4860,Foster L B Co,.0078962129070898,1
4864,,,
4881,Franklin Electric Co Inc,.0087651219340868,0
4885,Franklin Resources Inc,.0132379256895504,1
4900,Frequency Electronics Inc,,
4903,Friedman Industries Inc,,
4911,,,
4918,,,
4925,,,
4926,Fuller H B Co,.0071610027790728,2
4936,,,
4941,Gatx Corp,.011465370009861,0
4973,Arthur J. Gallagher & Co.,.0093865914456755,1
4988,Tegna Inc,.0102757580818997,1
4990,Gap Inc,.0044401443432361,2
5018,,.0094707341850475,
5020,,,
5046,General Dynamics Corp,.0185108631993337,2
5047,General Electric Co,.0134673266136187,
5050,Gee Group Inc.,.007348208610997,0
5071,General Mills Inc,,
5072,Ally Financial Inc.,.0167002732152123,0
5073,General Motors Co,.0150870551622744,1
5074,,,
5087,"Spx Technologies, Inc.",.0111825575238424,0
5109,Genesco Inc,.0040477007619226,0
5111,,,
5116,Gentex Corp,.0115357914746635,1
5125,Genuine Parts Co,.0059199901340198,1
5135,,.0112909230571405,
5142,,,
5149,Getty Realty Corp /Md/,.008020035492253,0
5165,,,
5179,Glatfelter Corp,.0083704912611203,2
5180,Gsk Plc,.0101731993319392,
5210,,,
5218,,,
5234,Goodyear Tire & Rubber Co /Oh/,.0071112573038268,1
5237,Gorman Rupp Co,.0062949566593728,1
5250,,.0087635616340623,
5252,Graco Inc,.008782568769112,1
5254,Graham Corp,,
5256,"W.W. Grainger, Inc.",.0111386357299207,0
5284,Gray Television Inc,.0044950896954606,1
5288,,.0052866396392575,
5327,,,
5330,,,
5338,"Greif, Inc",.0096777082760245,1
5342,,.0227337400864655,
5379,,,
5395,"Gyrodyne, Llc",,
5408,,,
5432,,,
5439,Halliburton Co,.0107425648036596,1
5492,"L3Harris Technologies, Inc. /De/",.0209789738165199,0
5496,,.0064214166953564,
5518,"Hasbro, Inc.",.0113471867116776,1
5520,,.0082470459295516,
5523,Haverty Furniture Companies Inc,.0045449097782939,0
5525,,.0110367216686835,
5526,Hawaiian Electric Industries Inc,.0109365648239105,0
5530,Hawkins Inc,,
5539,Healthcare Services Group Inc,.0042263715039883,1
5543,Welltower Inc.,.0036355350927669,0
5559,"Sterling Infrastructure, Inc.",.0069610357896163,0
5560,Hecla Mining Co/De/,.0088158515191287,0
5567,Heico Corp,.0081887832009333,0
5568,Kraft Heinz Co,.0061464797592476,0
5572,Helen Of Troy Ltd,,
5581,"Helmerich & Payne, Inc.",.0060661077266069,0
5594,,,
5597,Hershey Co,.0067751526118738,1
5600,"Hertz Global Holdings, Inc",.0054631524427748,0
5606,Hp Inc,.0261997593886798,0
5608,Hexcel Corp /De/,.0056926319018803,
5639,,.0085585368083714,
5643,Hilton Worldwide Holdings Inc.,,2
5650,,,
5667,Hf Sinclair Corp,.0071683785235289,
5671,,,
5680,"Home Depot, Inc.",.0047444816699567,1
5690,Hni Corp,.0080913351689971,0
5697,,,
5709,Hormel Foods Corp /De/,.0073116052267978,0
5711,,,
5742,Centerpoint Energy Inc,.0130823220177842,1
5750,Hovnanian Enterprises Inc,.0064120165005039,0
5763,,.0049238255632308,
5764,Hubbell Inc,.0138790229667557,1
5770,,,
5774,,,
5783,Hunt J B Transport Services Inc,.0110801128734242,1
5786,Huntington Bancshares Inc /Md/,.0101373485383841,1
5788,Hurco Companies Inc,.0197168700871181,1
5791,,,
5792,,.004349051613314,
5808,,.0108706788115161,
5811,,,
5831,,.010205514641065,
5849,,.0036171802156801,
5860,Itt Inc.,.0166973959785384,1
5862,Rayonier Inc,.0073273684698525,0
5870,Idacorp Inc,.0126565592212659,0
5878,Illinois Tool Works Inc,.0114716043355877,0
5888,,,
5902,,.0099025637774988,
5903,Imperial Oil Ltd,.0075597756131374,0
5914,,.0090936005062677,
5918,,,
5932,,,
5959,Trane Technologies Plc,.0107844155773917,0
5968,Ryerson Holding Corp,.0058365565695152,1
5978,,.0052004791630037,
5987,Griffon Corp,.0080478921420554,0
6003,,,
6008,Intel Corp,.0146121865931388,
6013,Corecard Corp,,
6021,,,
6025,,,
6034,Interface Inc,.0089698749641049,0
6053,,,
6066,International Business Machines Corp,.0318984517645571,2
6078,International Flavors & Fragrances Inc,.0096233655798855,1
6081,,.0099291779475044,
6100,"Interdigital, Inc.",.0252176621585413,2
6104,International Paper Co /New/,.0082867875289167,1
6109,,,
6115,,,
6116,,,
6135,Enbridge Inc,.0100798296422119,1
6136,"Interpublic Group Of Companies, Inc.",.0104707392141319,2
6158,,.0067797370140416,
6178,,.006490567751796,
6194,,,
6196,,.0078600142395001,
6213,,,
6214,,,
6216,Jacobs Solutions Inc.,.0112376040536396,0
6223,"Emcor Group, Inc.",.0055419623942295,0
6239,,.0077226026524682,
6253,,,
6266,Johnson & Johnson,.0100405600120932,1
6268,Johnson Controls International Plc,.0121921170337978,2
6304,Kla Corp,.0157715181877196,0
6307,,,
6310,"Kinder Morgan, Inc.",.0088184600152065,0
6311,Primeenergy Resources Corp,,
6326,Kaman Corp,.0080211841998486,0
6333,,,
6335,,.00989810301428,
6338,"Evergy, Inc.",.013677128821377,0
6346,,,
6349,,,
6357,,,
6375,Kellogg Co,.0062175011007458,0
6376,,,
6379,Kelly Services Inc,.0104677355577598,2
6385,,,
6386,Kennametal Inc,.0069827027629262,1
6410,Kewaunee Scientific Corp /De/,,
6416,Key Tronic Corp,.0109262891268444,2
6424,,,
6433,,.0086056240268315,
6435,Kimberly Clark Corp,.0080538115420907,1
6461,Kirby Corp,.0080445173955454,0
6494,,,
6497,Koss Corp,.0120802692793412,1
6500,,,
6502,Kroger Co,.0031729504299356,1
6506,,,
6509,Kulicke & Soffa Industries Inc,.0147952337899887,1
6512,,,
6527,Lsi Industries Inc,.0086439707318758,0
6528,"Lsb Industries, Inc.",.0144515535770275,1
6529,,,
6532,,,
6543,La-Z-Boy Inc,,
6547,Spire Inc,.0136762059172957,0
6557,,,
6565,Lam Research Corp,.0124963391115066,2
6573,Lancaster Colony Corp,.004987230072444,0
6574,,,
6617,"Distribution Solutions Group, Inc.",.0084138032238944,1
6639,"Lee Enterprises, Inc",.0057507760029265,
6649,Leggett & Platt Inc,.0067298299641125,1
6653,,,
6669,Lennar Corp /New/,.0046262832669918,1
6672,,.0030878489887511,
6682,Jefferies Financial Group Inc.,.0077226026524682,0
6730,Eli Lilly & Co,.0107261752283778,1
6733,"Bath & Body Works, Inc.",.0034450186892938,0
6737,Lincoln Electric Holdings Inc,.0094244996781168,0
6742,Lincoln National Corp,.0094303809164337,0
6768,,,
6771,,.0072393654771243,
6774,Lockheed Martin Corp,.0138732764285809,1
6781,Loews Corp,.0111338652448071,0
6788,Range Resources Corp,.0121207630665779,0
6802,,,
6821,Louisiana-Pacific Corp,.0079011244290735,0
6823,,.0036519068662305,
6829,Lowes Companies Inc,.0039175231053889,0
6831,,.00243765970869,
6836,,,
6845,,.0057989125661243,
6848,Lgl Group Inc,,
6865,"M.D.C. Holdings, Inc.",.005274164224429,0
6867,Mdu Resources Group Inc,.007698897730554,1
6900,,.0176107674351714,
6930,,.0022251976087879,
6932,Mge Energy Inc,.0120068497409114,0
6946,Magna International Inc,.0074023923441555,
6972,,,
6994,Manitowoc Co Inc,.0139781861152123,
6995,,,
7017,Marathon Oil Corp,.0089981084520692,0
7022,Marcus Corp,.0040110833344173,0
7034,Marine Petroleum Trust,,0
7063,"Host Hotels & Resorts, Inc.",.0066823001174561,0
7065,"Marsh & Mclennan Companies, Inc.",.0102112931129784,0
7085,Masco Corp /De/,.0063718736897904,1
7095,,,
7107,,,
7114,Panasonic Corp,,
7116,Mattel Inc /De/,.007963988617064,1
7117,Maui Land & Pineapple Co Inc,.004134499104807,0
7124,,.0139899492006768,
7132,,,
7146,Mccormick & Co Inc,.0077124064894821,2
7152,,.0061734960770491,
7154,Mcdonalds Corp,.0018104985634361,
7161,Mcgrath Rentcorp,.0101466206851042,0
7163,S&P Global Inc.,.0266184769123991,2
7171,Mckesson Corp,,
7179,,.0067865236419328,
7183,"Soluna Holdings, Inc",.0130773053001474,1
7185,Gencor Industries Inc,.0053926783062486,0
7203,,,
7228,Medtronic Plc,,
7232,,.059109202386437,
7241,Cvs Health Corp,.009371133315188,0
7245,,,
7250,,,
7251,,,
7257,"Merck & Co., Inc.",.0107244173400454,0
7260,,.0110927279383976,
7275,Mesa Laboratories Inc /Co/,,
7277,Mesa Royalty Trust/Tx,,
7279,Mesabi Trust,,
7281,,,
7291,Methode Electronics Inc,,
7295,"Evi Industries, Inc.",.0091289084609793,0
7300,,,
7302,,.0079730174079853,
7309,Mexco Energy Corp,,
7315,Siebert Financial Corp,,
7316,,.0034784262635744,
7331,,,
7343,Micron Technology Inc,.0123197049350714,2
7344,,.0157507067559056,
7346,,,
7350,,.013187183214214,
7366,Entergy Corp /De/,.0086079832079638,0
7368,Middlesex Water Co,.0073382215794515,0
7389,,,
7401,"Millerknoll, Inc.",,
7409,,,
7420,Msa Safety Inc,.0116930610846457,2
7422,,,
7435,3M Co,.0130214842553727,1
7437,Allete Inc,.012606114018239,0
7449,,.0101747338911948,
7450,,.0068837000994179,
7481,,,
7486,Modine Manufacturing Co,,
7506,,,
7510,,,
7512,,.0083986557060043,
7525,,.0056297877838927,
7526,Quidelortho Corp,.0109510443027056,
7533,,.0079730174079853,
7549,,.0085193406389229,
7566,,,
7585,"Motorola Solutions, Inc.",.0317367130505192,1
7620,Murphy Oil Corp,.0061878978745166,0
7632,Intergroup Corp,,0
7636,Myers Industries Inc,.0068920123010149,
7637,Viatris Inc,.0101368570991257,1
7647,Bank Of America Corp /De/,.0113543718129869,0
7648,Ncr Corp,.0265991065359555,2
7652,,,
7658,Nl Industries Inc,.010848954413675,0
7662,Biomerica Inc,,
7682,,.0258005897148938,
7685,"Napco Security Technologies, Inc",.0237824812533825,2
7691,,,
7692,,,
7696,"Nathans Famous, Inc.",,
7733,National Fuel Gas Co,.01249435059332,1
7741,National Healthcare Corp,.0041933572740825,1
7750,Tenet Healthcare Corp,.004214528190465,1
7759,,.0116617302540799,
7762,National Presto Industries Inc,.0067410032638157,0
7769,,,
7770,,,
7781,,,
7798,,,
7799,Natures Sunshine Products Inc,.010311692216512,0
7817,,,
7841,,,
7849,New Jersey Resources Corp,.0119595779065519,0
7853,,,
7863,,,
7866,New York Times Co,.0119685717709103,2
7875,Newell Brands Inc.,.0067357533533943,2
7881,Newmont Corp /De/,.0074308192474875,0
7882,Newpark Resources Inc,.0084478599125932,0
7883,,,
7906,"Nike, Inc.",,
7911,Nobility Homes Inc,.0033771423446951,0
7912,,.0102531876157825,
7914,,,
7921,Nordson Corp,.0109557334356677,1
7922,Nordstrom Inc,.005890884408894,1
7923,Norfolk Southern Corp,.0087730698846134,
7938,Nacco Industries Inc,.0070948327599529,0
7951,Movado Group Inc,,
7959,North European Oil Royalty Trust,,0
7970,Eversource Energy,.0096635862796213,0
7974,Nisource Inc.,.0090865438250008,0
7977,Xcel Energy Inc,.0094886388667376,0
7982,Northern Trust Corp,.0138081199961196,0
7985,Northrop Grumman Corp /De/,.0144264298907165,1
7991,Terex Corp,.0073209108190744,1
7993,Northwest Natural Holding Co,.0126907271362905,0
7994,,.0054901961033216,
8001,Northwestern Corp,.0103541104220082,0
8007,Wells Fargo & Company/Mn,.0123659074788553,1
8009,,,
8020,Novo Nordisk A S,.0081668696531266,
8030,Nucor Corp,.0075691909157451,1
8060,"Newtekone, Inc.",.0111189094266312,0
8068,Occidental Petroleum Corp /De/,.0091274550461668,1
8073,,,
8079,Oceaneering International Inc,.0087427796002575,1
8087,"Iteris, Inc.",,
8092,Bristow Group Inc.,,
8099,Firstenergy Corp,.0079730174079853,0
8105,Oil-Dri Corp Of America,.0072556644557031,0
8113,Oge Energy Corp.,.0106557412884054,0
8123,Olin Corp,.0083371356539216,0
8133,,,
8148,One Liberty Properties Inc,.0032686549162282,0
8150,,,
8151,Oneok Inc /New/,.0117427962581992,1
8169,,,
8171,,,
8176,,,
8199,Otter Tail Corp,.0085495139658828,0
8210,Overseas Shipholding Group Inc,.0045386407796753,0
8213,Owens & Minor Inc/Va/,.0094836163830716,1
8214,Owens Corning,.0075121041820022,1
8215,"O-I Glass, Inc. /De/",.0107991537163233,0
8219,Oxford Industries Inc,.0071972651615213,1
8229,P&F Industries Inc,,
8240,,,
8245,"Pnc Financial Services Group, Inc.",.0123076363918614,0
8247,Ppg Industries Inc,.0076718892607737,2
8253,Paccar Inc,.0120516229527537,0
8264,Pg&E Corp,.0102328602605621,0
8266,,,
8272,Sempra,.0128432052794696,0
8290,,.0091336457499244,
8326,,.0099617212558123,
8333,,,
8334,Par Technology Corp,.0251807658618256,1
8336,,,
8348,Park Aerospace Corp,,
8350,Park Ohio Holdings Corp,.0080015940587131,0
8357,,,
8358,Parker Hannifin Corp,.0101846803491728,1
8363,,,
8386,Patrick Industries Inc,.0059384060901555,1
8387,,.008666057855822,
8402,Paychex Inc,,
8423,,,
8431,American Financial Group Inc,.015480480309884,0
8440,,.007531890110117,
8446,,.0031710143259124,
8450,,,
8455,Ppl Corp,.010549562063458,0
8457,Pennsylvania Real Estate Investment Trust,.0063763608309422,0
8463,Pentair Plc,.0106293264417884,0
8475,,,
8479,Pepsico Inc,.0055188217140435,1
8486,Tutor Perini Corp,.0050234445213362,0
8493,Permian Basin Royalty Trust,,
8512,,.0109081059872369,
8515,,.0070228391126403,
8530,Pfizer Inc,.0100846490769847,0
8539,Exelon Corp,.0106063464431316,0
8542,"Essential Utilities, Inc.",.0097366264569915,0
8543,"Altria Group, Inc.",.0085078535032865,0
8544,Pldt Inc.,.0118280573013669,
8546,Koninklijke Philips Nv,,
8549,Conocophillips,.0108401532824951,0
8551,Pvh Corp. /De/,.0067192466201566,1
8577,,.0097046538074473,
